results_id,experiment_id,group_id,sample_id,analysis_name,analysis_id,original_assay_type,assay_id,analysis_type,datatype,datatype_id,file_access,file_type,replications,comments,document_id,original_assay_type_id
1302,1039,SDY1276GSE48024,1302,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1303,1039,SDY1276GSE48024,1303,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1304,1039,SDY1276GSE48024,1304,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1305,1039,SDY1276GSE48024,1305,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1306,1039,SDY1276GSE48024,1306,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1307,1039,SDY1276GSE48024,1307,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1308,1039,SDY1276GSE48024,1308,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1309,1039,SDY1276GSE48024,1309,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1310,1039,SDY1276GSE48024,1310,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1311,1039,SDY1276GSE48024,1311,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1312,1039,SDY1276GSE48024,1312,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1313,1039,SDY1276GSE48024,1313,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1314,1039,SDY1276GSE48024,1314,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1315,1039,SDY1276GSE48024,1315,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1316,1039,SDY1276GSE48024,1316,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1317,1039,SDY1276GSE48024,1317,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1318,1039,SDY1276GSE48024,1318,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1319,1039,SDY1276GSE48024,1319,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1320,1039,SDY1276GSE48024,1320,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1321,1039,SDY1276GSE48024,1321,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1322,1039,SDY1276GSE48024,1322,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1323,1039,SDY1276GSE48024,1323,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1324,1039,SDY1276GSE48024,1324,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1325,1039,SDY1276GSE48024,1325,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1326,1039,SDY1276GSE48024,1326,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1327,1039,SDY1276GSE48024,1327,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1328,1039,SDY1276GSE48024,1328,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1329,1039,SDY1276GSE48024,1329,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1330,1039,SDY1276GSE48024,1330,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1331,1039,SDY1276GSE48024,1331,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1332,1039,SDY1276GSE48024,1332,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1333,1039,SDY1276GSE48024,1333,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1334,1039,SDY1276GSE48024,1334,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1335,1039,SDY1276GSE48024,1335,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1336,1039,SDY1276GSE48024,1336,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1337,1039,SDY1276GSE48024,1337,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1338,1039,SDY1276GSE48024,1338,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1339,1039,SDY1276GSE48024,1339,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1340,1039,SDY1276GSE48024,1340,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1341,1039,SDY1276GSE48024,1341,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1342,1039,SDY1276GSE48024,1342,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1343,1039,SDY1276GSE48024,1343,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1344,1039,SDY1276GSE48024,1344,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1345,1039,SDY1276GSE48024,1345,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1346,1039,SDY1276GSE48024,1346,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1347,1039,SDY1276GSE48024,1347,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1348,1039,SDY1276GSE48024,1348,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1349,1039,SDY1276GSE48024,1349,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1350,1039,SDY1276GSE48024,1350,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1351,1039,SDY1276GSE48024,1351,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1352,1039,SDY1276GSE48024,1352,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1353,1039,SDY1276GSE48024,1353,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1354,1039,SDY1276GSE48024,1354,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1355,1039,SDY1276GSE48024,1355,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1356,1039,SDY1276GSE48024,1356,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1357,1039,SDY1276GSE48024,1357,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1358,1039,SDY1276GSE48024,1358,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1359,1039,SDY1276GSE48024,1359,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1360,1039,SDY1276GSE48024,1360,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1361,1039,SDY1276GSE48024,1361,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1362,1039,SDY1276GSE48024,1362,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1363,1039,SDY1276GSE48024,1363,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1364,1039,SDY1276GSE48024,1364,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1365,1039,SDY1276GSE48024,1365,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1366,1039,SDY1276GSE48024,1366,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1367,1039,SDY1276GSE48024,1367,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1368,1039,SDY1276GSE48024,1368,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1369,1039,SDY1276GSE48024,1369,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1370,1039,SDY1276GSE48024,1370,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1371,1039,SDY1276GSE48024,1371,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1372,1039,SDY1276GSE48024,1372,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1373,1039,SDY1276GSE48024,1373,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1374,1039,SDY1276GSE48024,1374,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1375,1039,SDY1276GSE48024,1375,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1376,1039,SDY1276GSE48024,1376,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1377,1039,SDY1276GSE48024,1377,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1378,1039,SDY1276GSE48024,1378,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1379,1039,SDY1276GSE48024,1379,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1380,1039,SDY1276GSE48024,1380,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1381,1039,SDY1276GSE48024,1381,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1382,1039,SDY1276GSE48024,1382,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1383,1039,SDY1276GSE48024,1383,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1384,1039,SDY1276GSE48024,1384,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1385,1039,SDY1276GSE48024,1385,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1386,1039,SDY1276GSE48024,1386,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1387,1039,SDY1276GSE48024,1387,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1388,1039,SDY1276GSE48024,1388,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1389,1039,SDY1276GSE48024,1389,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1390,1039,SDY1276GSE48024,1390,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1391,1039,SDY1276GSE48024,1391,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1392,1039,SDY1276GSE48024,1392,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1393,1039,SDY1276GSE48024,1393,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1394,1039,SDY1276GSE48024,1394,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1395,1039,SDY1276GSE48024,1395,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1396,1039,SDY1276GSE48024,1396,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1397,1039,SDY1276GSE48024,1397,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1398,1039,SDY1276GSE48024,1398,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1399,1039,SDY1276GSE48024,1399,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1400,1039,SDY1276GSE48024,1400,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1401,1039,SDY1276GSE48024,1401,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1402,1039,SDY1276GSE48024,1402,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1403,1039,SDY1276GSE48024,1403,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1404,1039,SDY1276GSE48024,1404,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1405,1039,SDY1276GSE48024,1405,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1406,1039,SDY1276GSE48024,1406,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1407,1039,SDY1276GSE48024,1407,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1408,1039,SDY1276GSE48024,1408,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1409,1039,SDY1276GSE48024,1409,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1410,1039,SDY1276GSE48024,1410,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1411,1039,SDY1276GSE48024,1411,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1412,1039,SDY1276GSE48024,1412,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1413,1039,SDY1276GSE48024,1413,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1414,1039,SDY1276GSE48024,1414,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
1415,1039,SDY1276GSE48024,1415,RNA Microarray of SDY1276GSE48024,7,Blood.RNA Expression Assay,GPL6947,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,7
